MB-CAD 26.1.2 Cennik 26.1.2 PLN;PORÓWNANIE ZAMÓWIENIA I RZECZYWISTYCH POTRZEB;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;

;Profile;;;;Zamawiane:;;;;;Potrzebne:;;;
;Kod elementu;Opis;;Jednostka miary;;;;;;Iloœæ;;;Odpad
;K120470--R----1000;Uszczelka szczoteczkowa 2,5x13mm;;sztanga(1000mm) ;8;;47,92;;;8; 40,54;; 15,40
;K80462203;Wk³ad izolacyjny CI44,5x9,6x2000 mm;;sztanga(2000mm) ;13;;1441,44;;;13;1 384,67;; 3,94
;KK4178370R----6800;Listwa ustalaj¹ca;;sztanga(6800mm) ;1;;17,95;;;1; 3,96;; 77,94
;W80462109;Wk³ad izolacyjny GKF15x41x2600 mm;;sztanga(2600mm) ;31;;208,75;;;31; 203,78;; 2,38
;W80462111;Wk³ad izolacyjny GKF15x43x2600 mm;;sztanga(2600mm) ;54;;612,14;;;54; 610,85;; 0,21
;W80462112;Wk³ad izolacyjny GKF15x37x2600 mm;;sztanga(2600mm) ;32;;302,02;;;32; 301,00;; 0,34
;W80462118;Wk³ad izolacyjny GKF15x94x2600 mm;;sztanga(2600mm) ;6;;60,37;;;6; 50,71;; 16,00
;W80462119;Wk³ad izolacyjny GKF15x90x2600 mm;;sztanga(2600mm) ;6;;82,99;;;6; 73,54;; 11,38
;W80462120;Wk³ad izolacyjny GKF15x40x2600 mm;;sztanga(2600mm) ;59;;498,55;;;59; 492,31;; 1,25
;W80462233;Wk³ad izolacyjny GKF15x22,5x2600 mm;;sztanga(2600mm) ;12;;55,22;;;12; 51,75;; 6,28
;W80462234;Wk³ad izolacyjny GKF15x24x2600 mm;;sztanga(2600mm) ;3;;14,27;;;3; 11,47;; 19,63
;W80462235;Wk³ad izolacyjny GKF15x27x2600 mm;;sztanga(2600mm) ;17;;83,98;;;17; 81,89;; 2,49
;WK4139144R70166800;Oœcie¿nica drzwiowa 66,5 mm;;sztanga(6800mm) ;1;;215,90;;;1; 192,79;; 10,71
;WK4139154R70166800;Skrzyd³o drzwiowe 72 mm;;sztanga(6800mm) ;2;;536,25;;;2; 462,71;; 13,71
;WK4139164R70166800;Skrzyd³o drzwiowe 93 mm;;sztanga(6800mm) ;2;;536,25;;;2; 462,63;; 13,73
;WK4139174R70162260;Przewi¹zka 87 mm;;sztanga(2260mm) ;1;;95,78;;;1; 62,21;; 35,04
;WK4152204R70166800;Oœcie¿nica 130 mm;;sztanga(6800mm) ;1;;365,30;;;1; 240,45;; 34,18
;WK4152208R70166800;Oœcie¿nica 130 mm;;sztanga(6800mm) ;1;;408,61;;;1; 89,65;; 78,06
;WK4152234R70161130;Przewi¹zka 87 mm;;sztanga(1130mm) ;1;;50,27;;;1; 18,42;; 63,36
;WK4152234R70166800;Przewi¹zka 87 mm;;sztanga(6800mm) ;17;;4761,56;;;17;4 650,47;; 2,33
;WK4152238R70162260;Przewi¹zka 87 mm;;sztanga(2260mm) ;1;;113,75;;;1; 75,09;; 33,98
;WK4152244R70166800;Oœcie¿nica drzwiowa 66,5 mm;;sztanga(6800mm) ;4;;904,13;;;4; 807,60;; 10,68
;WK4152254R70166800;Skrzyd³o drzwiowe 72 mm;;sztanga(6800mm) ;4;;1119,28;;;4; 881,27;; 21,26
;WK4152264R70166800;Skrzyd³o drzwiowe 93 mm;;sztanga(6800mm) ;9;;2518,38;;;9;2 096,84;; 16,74
;WK4178404R70166800;Listwa przyszybowa 5,5 mm(STANDARD);;sztanga(6800mm) ;22;;915,55;;;22; 892,79;; 2,49
;WK4178424R70166800;Listwa przyszybowa 14,5 mm(STANDARD);;sztanga(6800mm) ;33;;1808,66;;;33;1 757,03;; 2,85
;WK4178434R70166800;Listwa przyszybowa 19 mm(STANDARD);;sztanga(6800mm) ;16;;882,37;;;16; 822,48;; 6,79
;WK4178444R70166800;Listwa przyszybowa 23,5 mm(STANDARD);;sztanga(6800mm) ;73;;4532,13;;;73;4 399,64;; 2,92
;WK4178448R70166800;Listwa przyszybowa 23,5 mm(STANDARD);;sztanga(6800mm) ;3;;211,96;;;3; 146,17;; 31,04
;WK4178974R70166800;Oœcie¿nica drzwiowa 29 mm;;sztanga(6800mm) ;2;;328,17;;;2; 222,00;; 32,35
;WK4180234R70166800;K¹townik 25x20x2 mm;;sztanga(6800mm) ;2;;95,61;;;2; 73,06;; 23,59
;WK4180238R70166800;K¹townik 25x20x2 mm;;sztanga(6800mm) ;1;;53,52;;;1; 27,26;; 49,06
;WK4300284R70166800;Listwa przymykowa;;sztanga(6800mm) ;20;;839,12;;;20; 768,07;; 8,47
;WK4300344R70166800;Oœcie¿nica drzwiowa 66,5 mm;;sztanga(6800mm) ;95;;18766,30;;;95;17 715,85;; 5,60
;WK4300348R70166800;Oœcie¿nica drzwiowa 66,5 mm;;sztanga(6800mm) ;1;;220,25;;;1; 214,42;; 2,65
;WK4300354R70166800;Skrzyd³o drzwiowe 66 mm;;sztanga(6800mm) ;60;;14039,28;;;60;12 992,11;; 7,46
;WK4300358R70166800;Skrzyd³o drzwiowe 66 mm;;sztanga(6800mm) ;1;;261,32;;;1; 88,77;; 66,03
;WK4300364R70162260;Skrzyd³o drzwiowe 87 mm;;sztanga(2260mm) ;1;;82,38;;;1; 57,48;; 30,22
;WK4300364R70166800;Skrzyd³o drzwiowe 87 mm;;sztanga(6800mm) ;54;;12393,00;;;54;11 403,62;; 7,98
;WK4300368R70166800;Skrzyd³o drzwiowe 87 mm;;sztanga(6800mm) ;2;;512,45;;;2; 327,29;; 36,13
;WK4301584R70166800;Listwa maskuj¹ca;;sztanga(6800mm) ;2;;61,61;;;2; 31,51;; 48,86
;WK4303014R70166800;Listwa przyszybowa 19 mm;;sztanga(6800mm) ;13;;994,50;;;13; 967,46;; 2,72
;WK4303018R70166800;Listwa przyszybowa 19 mm;;sztanga(6800mm) ;3;;257,45;;;3; 178,19;; 30,78
;WK4303284R70166800;Listwa przyszybowa 20 mm;;sztanga(6800mm) ;13;;968,86;;;13; 942,52;; 2,72
;WK4303288R70166800;Listwa przyszybowa 20 mm;;sztanga(6800mm) ;3;;247,25;;;3; 171,13;; 30,78
;WK4312364R70166800;Listwa uszczelniaj¹ca;;sztanga(6800mm) ;2;;83,50;;;2; 52,12;; 37,59
;WK4312368R70166800;Listwa uszczelniaj¹ca;;sztanga(6800mm) ;1;;46,31;;;1; 11,71;; 74,71

;1 (5);;;14.04.2026;
;;;;;;;;;;

WK4316234R70166800;Listwa przyszybowa 23,5 mm(STANDARD);;sztanga(6800mm) ;8;;591,87;8; 561,32;; 5,16
WK5181394R70166800;Profil witrynowy ppo¿.;;sztanga(6800mm) ;4;;793,97;4; 692,74;; 12,75
WK5181434R70162260;Oœcie¿nica 56 mm;;sztanga(2260mm) ;1;;152,05;1; 24,62;; 83,81
WK5181434R70166800;Oœcie¿nica 56 mm;;sztanga(6800mm) ;6;;2541,43;6;2 476,77;; 2,54
WK5181438R70162260;Oœcie¿nica 56 mm;;sztanga(2260mm) ;1;;163,76;1; 108,11;; 33,98
WK5181454R70166800;Oœcie¿nica 109 mm;;sztanga(6800mm) ;2;;1224,68;2; 622,43;; 49,18
WK5182664R70166800;Przewi¹zka 87 mm;;sztanga(6800mm) ;1;;411,26;1; 379,27;; 7,78
WK5183854R70162260;Oœcie¿nica drzwiowa 62,5 mm(MB-60E);;sztanga(2260mm) ;2;;231,92;2; 219,61;; 5,31
WK5183854R70166800;Oœcie¿nica drzwiowa 62,5 mm(MB-60E);;sztanga(6800mm) ;2;;646,14;2; 594,83;; 7,94
WK5183864R70166800;Oœcie¿nica drzwiowa 62,5 mm(MB-60E);;sztanga(6800mm) ;2;;652,94;2; 611,65;; 6,32
WK5183904R70166800;Skrzyd³o drzwiowe 67 mm(MB-60E);;sztanga(6800mm) ;4;;1484,85;4;1 324,79;; 10,78
WK5183914R70162260;Skrzyd³o drzwiowe 88 mm(MB-60E);;sztanga(2260mm) ;1;;132,64;1; 65,97;; 50,27
WK5183914R70166800;Skrzyd³o drzwiowe 88 mm(MB-60E);;sztanga(6800mm) ;3;;1108,54;3;1 041,92;; 6,01
WK5183954R70166800;Oœcie¿nica 66 mm;;sztanga(6800mm) ;10;;4039,20;10;3 865,28;; 4,31
WK5183958R70166800;Oœcie¿nica 66 mm;;sztanga(6800mm) ;3;;1311,31;3;1 249,35;; 4,73
Razem:;;;;;;89139,17;81447,94;

Akcesoria;;;;Zamawiane:;;;Potrzebne:;;;
Kod elementu;Opis;;Jednostka miary;;;;Iloœæ;;;Odpad
K120483;Uszczelka 7 mm;;m;102;;343,74;102; 360,74;; 0,00
K120518;Uszczelka 4 mm;;m;1025;;1947,50;1025;1 947,50;; 0,00
K120541;Uszczelka 3 mm;;m;640;;1465,60;640;1 465,60;; 0,00
K120542;Uszczelka 4,5 mm;;m;266;;633,08;266; 633,08;; 0,00
K120550;Izolator termiczny o2,8 mm;;m;17;;7,31;17; 7,31;; 0,00
K120553;Uszczelka przymykowa 5 mm;;m;1492;;1447,24;1492;1 455,00;; 0,00
K120604;Sznur PE o6 mm;;m;49;;34,30;49; 34,30;; 0,00
K120655--R----PUDS;Uszczelka pêczniej¹ca 22 mm;;sztanga(25000mm) ;8;;1078,00;8; 977,79;; 9,30
K120656--R----2000PUDS;Uszczelka pêczniej¹ca 58 mm;;sztanga(2000mm) ;78;;2613,00;78;2 600,60;; 0,47
K120668--R----2000PUDS;Uszczelka pêczniej¹ca 24 mm;;sztanga(2000mm) ;38;;647,52;38; 631,29;; 2,51
K120672;Izolator termiczny 10x7 mm;;m;1;;0,74;1; 0,74;; 0,00
K120750;Uszczelka 6,2 mm;;m;221;;658,58;221; 658,58;; 0,00
K121668;Naro¿nik uszczelki 120553;;szt.;234;;622,44;234; 622,44;; 0,00
K121669;Naro¿nik uszczelki 120553;;szt.;15;;39,90;15; 39,90;; 0,00
K15004332R8019;WALA - Zestaw rygli[czarny];;szt.;3;;190,44;3; 190,44;; 0,00
K15004337R9005;WALA - Zestaw rygli[czarny mat];;szt.;6;;380,88;6; 380,88;; 0,00
K15005230;DR. HAHN - Trzpieñprzeciwwywa¿eniowy zko³nierzem;;szt.;18;;672,66;18; 672,66;; 0,00
K18107166;Alarmtech - Ko³nierz;;szt.;36;;584,64;36; 584,64;; 0,00
K80004313;JIS - Elektrozaczep podstawowy12AC/DC;;szt.;8;;580,48;8; 580,48;; 0,00
K80004314R----SZT;Wk³adka bêbenkowa 35/50 mm;;szt.;1;;51,32;1; 51,32;; 0,00
K80004318;Wk³adka bêbenkowa 35/35 mm;;szt.;62;;2341,12;62;2 341,12;; 0,00
K80004326R----0600;DOMATIC - Listwa dymoszczelna600 mm;;szt.;4;;494,76;4; 494,76;; 0,00
K80004326R----1200;DOMATIC - Listwa dymoszczelna1200 mm;;szt.;4;;521,36;4; 521,36;; 0,00
K80004327R----1000;DOMATIC - Listwa dymoszczelna1000 mm;;szt.;29;;3948,93;29;3 948,93;; 0,00
K80004327R----1200;DOMATIC - Listwa dymoszczelna1200 mm;;szt.;14;;2094,82;14;2 094,82;; 0,00
K80004327R----1300;DOMATIC - Listwa dymoszczelna1300 mm;;szt.;3;;530,91;3; 530,91;; 0,00
K80004327R----500;(WYCOFANE) DOMATIC -Listwa dymoszczelna 500 mm;;szt.;1;;98,77;1; 98,77;; 0,00
K80004327R----600;(WYCOFANE) DOMATIC -Listwa dymoszczelna 600 mm;;szt.;5;;526,05;5; 526,05;; 0,00
K80004327R----640;DOMATIC - Listwa dymoszczelna640 mm;;szt.;4;;509,56;4; 509,56;; 0,00
K80004338;Wk³adka bêbenkowa 35/50 mm;;szt.;3;;84,57;3; 84,57;; 0,00
K80004431;Wk³adka bêbenkowa 50/50 mm;;szt.;5;;170,40;5; 170,40;; 0,00
K80004516;Regulacja do blachy zaczepowej;;szt.;1;;2,70;1; 2,70;; 0,00
K80004630;JIS - Elektrozaczep rewersyjny12V DC;;szt.;5;;493,00;5; 493,00;; 0,00
K80004658R9005;WALA - Zestaw rygli[czarny mat];;szt.;1;;63,48;1; 63,48;; 0,00

2 (5);;;14.04.2026;
;;;;;;;;;;

K80009256;ROMB - Zaczep regulowany,prawy;;szt.;37;;652,68;37; 652,68;; 0,00
K80009257;ROMB - Zaczep regulowany,lewy;;szt.;68;;1199,52;68;1 199,52;; 0,00
K80009260;ROMB - Zaczep sta³y;;szt.;6;;47,28;6; 47,28;; 0,00
K80009262;ROMB - Blacha zaczepowa podelektrozaczep, prawa;;szt.;4;;70,56;4; 70,56;; 0,00
K80009263;ROMB - Blacha zaczepowa podelektrozaczep, lewa;;szt.;9;;158,76;9; 158,76;; 0,00
K80009266;ROMB - Zamekzapadkowo-zasuwkowy;;szt.;1;;42,67;1; 42,67;; 0,00
K80009269;ROMB - Zamekzapadkowo-zasuwkowy;;szt.;113;;4438,64;113;4 438,64;; 0,00
